№,Назвaние,Тикер,isin,RIC,Нaзвание,"Капитал, млрд $",Биржа,№ ,Сектор,№  ,Отрасль,"Объем, млн. шт","Цена, $",  ,MAX,MIN,CP,MAX ,MIN ,CP , MAX , MIN , CP , MAX  , MIN  , CP  ,  MAX  ,  MIN  ,  CP  ,  MAX   ,  MIN   ,  CP   ,   MAX   ,   MIN   ,   CP   , ,Описание,Рост/Спад
2841,US,CKSNY,US92550C2035,CKSNY.PK,Vesuvius plc,1.464653,PNK,52,Промышленность,13,Промышленные машины и оборудование,0.0,5.75,,5.75,0.0,0.27,5.61,5.01,5.25,5.61,4.84,5.22,5.61,4.84,5.22,5.61,4.84,5.26,5.61,4.34,5.19,5.61,4.34,5.14,,"Vesuvius plc занимается разработкой и технологией потоков расплавленного металла. Сегменты компании включают сталелитейный и литейный заводы. Подразделение стали включает в себя компании Steel Flow Control, Steel Advanced Refractories и Steel Sensors & Probes. Подразделение Steel Flow Control снабжает мировую сталелитейную промышленность расходными керамическими изделиями, системами, робототехникой и цифровыми услугами. Steel Advanced Refractories поставляет специализированные огнеупорные изделия, предназначенные для того, чтобы сталеплавильное оборудование могло удерживать расплавленный металл. Steel Sensors & Probes поставляет ряд продуктов, которые улучшают контроль и мониторинг производственных процессов клиентов. Подразделение литейного производства работает под брендом Foseco и предлагает широкий спектр расходных материалов и оборудования для литейного производства, отвечающих требованиям чугунолитейных, сталелитейных и цветных металлов. Шесть основных линий продукции Foundry Division — это системы подачи, покрытия, обработка металлов, фильтры, огнеупоры и тигли. Он также владеет предприятиями по производству систем расплавленного металла.",
2845,US,BRRAY,US0676802079,BRRAY.PK,Barloworld Ltd,2.1e-05,PNK,53,Промышленность,9,Тяжелая техника и транспортные средства,0.0,15.5,,0.0,0.0,0.0,15.6,5.63,8.53,15.6,5.25,7.25,15.6,5.25,7.25,15.6,5.25,7.25,15.6,5.25,7.25,15.6,5.25,7.25,,"Barloworld Limited — южноафриканская компания по промышленной переработке, дистрибуции и оказанию услуг, специализирующаяся на двух основных направлениях: промышленное оборудование, а также услуги и потребительская промышленность. Сегменты компании включают сегменты «Оборудование для Южной Африки» (BWE snA), «Автомобильный», «Ингрейн», «Оборудование для России», «Оборудование для Монголии» и другие сегменты. Сегмент «Оборудование для Южной Африки» поставляет строительное и горнодобывающее оборудование для землеройной отрасли в 11 африканских стран. Автомобильный сегмент включает в себя различные бизнес-подразделения, в том числе Avis и Budget Rent a Car, а также Avis Flee. Компания «Ингрэйн» занимается реализацией крахмала, глюкозы и других сопутствующих продуктов (сопутствующих продуктов). Сегменты «Оборудование для России» и «Оборудование в Монголии» поставляют строительное и горнодобывающее оборудование для землеройных предприятий по всей России и Монголии. Другие сегменты предлагают корпоративные офисы (Южная Африка и Великобритания), компании по управлению и утилизации отходов (SMD), Crownmill и Khula Sizwe.",
2850,US,AEBI,CH0027352993,AEBI.O,Aebi Schmidt Holding AG,0.880436,NSQ,54,Промышленность,10,Тяжелая техника и транспортные средства,0.26,11.37,,12.59,9.09,11.06,33.0,8.91,11.7,33.0,8.91,11.7,33.0,8.91,11.7,33.0,8.91,11.7,33.0,8.91,11.7,33.0,8.91,11.7,,"Aebi Schmidt Holding AG — швейцарская компания, занимающаяся преимущественно производством машин и оборудования. Компания специализируется на предоставлении систем и услуг для уборки и обслуживания проезжей части и сложной местности, а также навесного и съемного оборудования для индивидуального оборудования автомобилей. Сферы деятельности компании включают расчистку взлетно-посадочных полос аэропортов, расчистку снега и льда, уборку и разметку улиц, поддержание окружающей среды, коммерческие грузовики и прицепы, а также сельское хозяйство. Aebi Schmidt Holding также предлагает цифровые решения для оптимизации операций и управления автопарком. Производственные мощности компании расположены в Европе и Северной Америке.",
2864,US,AMKAF,DK0010244425,AMKAF.PK,AP Moeller - Maersk A/S,36.996477,PNK,55,Промышленность,1,Морские перевозки и логистика,0.0,2300.0,,2500.0,0.0,1019.64,2329.13,1850.92,2053.59,2329.13,1361.0,1844.81,2329.13,1197.94,1669.58,2350.69,1197.94,1721.29,3362.03,1197.94,2025.59,3362.03,636.47,1818.95,,"AP Moeller-Maersk A/S — датская компания по контейнерной логистике. Через свои дочерние компании компания занимается в основном контейнерными перевозками и сопутствующей деятельностью, включая танкеры, трамперы и морские операции по всему миру. Maersk включает четыре бизнес-сегмента: океан, логистика и услуги, терминалы и буксировка, производство и другие. Океанский сегмент включает морскую деятельность Maersk Liner Business совместно с Hamburg Sud Brands. Деятельность на внутреннем рынке, связанная с бизнесом Maersk Liner Business, включена в сегмент «Логистика и услуги». Сегмент «Терминалы и буксировка» включает в себя шлюзовые терминалы, занимающиеся наземной деятельностью и услугами буксировки. Сегмент «Производство и другие» включает деятельность Maersk Container Industry по производству и продаже рефрижераторных контейнеров на заводе в Китае. Компания работает по всему миру.",
2866,US,KHNGY,US5011871085,KHNGY.PK,Kuehne + Nagel International AG,29.100262,PNK,56,Промышленность,1,"Курьерская, почтовая, авиаперевозка и наземная логистика",0.0,47.85,,49.56,43.54,46.88,44.97,36.76,40.74,49.66,36.76,43.05,70.74,36.76,49.83,70.74,36.76,52.31,78.44,36.76,53.89,78.44,23.56,44.78,,"Kuehne und Nagel International AG — швейцарская холдинговая компания, занимающаяся предоставлением логистических услуг. Компания разделена на шесть операционных сегментов: морские перевозки, авиаперевозки, автомобильная и железнодорожная логистика, контрактная логистика, недвижимость и страховые брокеры. Кроме того, Компания диверсифицирует свою деятельность в четырех географических регионах: Европа; Америки; Азиатско-Тихоокеанский регион, Ближний Восток, Центральная Азия и Африка. В операционных сегментах «Морские перевозки», «Авиаперевозки» и «Автомобильная и железнодорожная логистика» Компания занимается транспортными услугами, включая транспортные услуги и договоры перевозки, связанные с отгрузкой. Операционный сегмент «Контрактная логистика» занимается предоставлением услуг, связанных со складской и дистрибьюторской деятельностью. Операционный сегмент «Страховые брокеры» в основном занимается брокерскими услугами по страхованию, в основном морской ответственности. Сегмент «Недвижимость» охватывает деятельность, в основном связанную с внутренней арендой помещений.",
2876,US,OROVY,US68620F1030,OROVY.PK,Orient Overseas (International) Ltd,11.402747,PNK,57,Промышленность,2,Морские перевозки и логистика,0.0,90.84,,92.0,0.0,17.24,93.88,76.25,86.37,93.88,60.77,80.5,93.88,59.0,75.3,108.0,58.65,76.08,164.18,34.15,85.54,164.18,10.27,79.63,,"Orient Overseas (International) Ltd — инвестиционная холдинговая компания, занимающаяся преимущественно контейнерными перевозками и логистикой. Компания осуществляет свою деятельность через два сегмента. Сегмент контейнерных перевозок и логистики занимается предоставлением глобальных услуг по контейнерным перевозкам по основным торговым маршрутам, охватывая Транс-Тихоокеанский, Трансатлантический регион, Азию/Европу, Азию/Австралию и внутриазиатскую торговлю. Кроме того, этот сегмент также предоставляет комплексные услуги по управлению и контролю эффективного хранения и движения товаров. Сегмент «Другие» занимается коммерческой недвижимостью.",
2880,US,KAIKY,US4863642017,KAIKY.PK,Kawasaki Kisen Kaisha Ltd,10.027408,PNK,58,Промышленность,3,Морские перевозки и логистика,0.0,16.25,,17.0,0.0,1.58,15.36,12.2,14.11,15.73,11.62,14.05,16.73,10.0,14.48,16.73,7.03,12.68,16.73,2.05,9.4,16.73,1.03,7.5,,"Kawasaki Kisen Kaisha Ltd — японская компания, занимающаяся преимущественно морскими перевозками. Компания работает в трех бизнес-сегментах. Сегмент сухих навалочных грузов занимается перевозкой сухих сыпучих грузов. Сегмент «Энергетические ресурсы» занимается перевозками сжиженного природного газа, электроэнергетикой, нефтяными танкерами и морским бизнесом. Сегмент продуктовой логистики занимается автоперевозками, логистикой, морскими и внутренними перевозками, а также бизнесом по перевозке контейнеров. Компания также занимается бизнесом по управлению судами, туристическим агентством, а также арендой и управлением недвижимостью.",
2887,US,YATRY,US98463V1052,YATRY.PK,Yamato Holdings Co Ltd,4.075994,PNK,59,Промышленность,2,"Курьерская, почтовая, авиаперевозка и наземная логистика",0.0,11.55,,11.55,0.0,0.55,16.72,14.5,15.52,16.72,12.3,14.7,19.12,9.97,12.69,19.18,9.97,14.42,28.57,9.97,16.48,31.78,9.97,18.11,,"Yamato Holdings Co Ltd — японская компания, занимающаяся в основном доставкой на дом, логистикой и транспортировкой. Компания работает в трех бизнес-сегментах. Розничный сегмент предоставляет услуги доставки на дом индивидуальным клиентам, а также малым и средним корпоративным клиентам. Корпоративный сегмент занимается транспортным обслуживанием крупных корпоративных клиентов, планированием и эксплуатацией распределительных центров, таможенным оформлением, а также услугами авиатранспортно-экспедиторского агентства. Сегмент «Другие» занимается разработкой, эксплуатацией и управлением систем информационных технологий (ИТ), техническим обслуживанием автомобилей, продажей топлива, агентством по страхованию, кроме страхования жизни, и грузовыми автоперевозками. Компания также разрабатывает информационные системы и предоставляет перевозчикам услуги по управлению автопарком.",
2889,US,OSTIY,US68859R1095,OSTIY.PK,Oesterreichische Post AG,2.624549,PNK,60,Промышленность,3,"Курьерская, почтовая, авиаперевозка и наземная логистика",0.0,19.25,,0.0,0.0,0.0,16.65,16.65,16.65,16.65,16.65,16.65,17.18,14.6,16.27,19.37,14.6,17.13,23.5,14.6,19.25,23.6,14.6,19.22,,"Oesterreichische Post AG — австрийская компания. Компания является международным поставщиком почтовых, логистических и услуг. Основным видом деятельности компании является перевозка традиционной письменной корреспонденции, прямой почтовой корреспонденции, посылок и экспресс-почты. Решения для бизнес-процессов, решения для электронной коммерции и логистики, а также цифровые услуги, например, для рекламы, дополняют портфель услуг. Он работает через три операционных подразделения: почта, посылки и логистика и розничная торговля и банк. Кроме того, Корпоративный отдел в основном предлагает услуги, связанные с администрированием и управлением Группой, а также разработкой новых бизнес-моделей. Почтовый отдел предлагает распределение, сбор, сортировку и доставку писем и документов. Подразделение посылок и логистики занимается перевозкой посылок и экспресс-почты. Подразделение розничной торговли и банковских услуг включает филиалы и финансовые услуги Почты Австрии.",
2900,US,PCFBY,US69402P1030,PCFBY.PK,Pacific Basin Shipping Ltd,2.024305,PNK,61,Промышленность,4,Морские перевозки и логистика,0.0,7.92,,8.0,0.0,3.6,6.99,4.67,5.84,6.99,3.39,5.16,7.5,3.39,5.48,8.45,3.39,5.76,11.02,3.14,6.46,11.02,1.29,5.91,,"Pacific Basin Shipping Ltd — инвестиционная холдинговая компания, занимающаяся преимущественно судоходным бизнесом. Компания в основном занимается оказанием услуг по перевозке сыпучих грузов. Компания в основном эксплуатирует современные сухогрузы Handysize и Supramax. Компания также занимается управлением и инвестированием денежных средств и депозитов Группы.",
2910,US,MARUF,JP3877600001,MARUF.PK,Marubeni Corp,63.38009,PNK,62,Промышленность,1,Оптовая торговля диверсифицированными промышленными товарами,0.0,37.72,,41.61,34.54,37.6,30.92,19.15,23.98,30.92,11.96,20.6,30.92,11.96,18.75,30.92,11.12,17.73,30.92,6.51,15.52,30.92,4.3,14.46,,"Marubeni Corp занимается импортом, экспортом и транзакциями различных продуктов через внутренние и зарубежные сети. Компания имеет шестнадцать сегментов. Сегмент Lifestyle включает одежду, обувь, товары повседневного спроса, спортивные товары. Сегмент «Информационные решения» включает услуги с использованием цифровых технологий в области ИКТ и логистики. Сегмент Food 1 включает молочные продукты, сахар, обработанные пищевые продукты и напитки. В сегмент «Продовольствие 2» входят фуражное зерно, соя, пшеница. Сегмент «Агро» включает бизнес по продаже сельскохозяйственной продукции. Сегмент лесных товаров включает сырье для производства бумаги и картон. Сегмент «Химия» включает нефтехимию и электронные материалы. В сегменты также входят металлургия, Департамент содействия развитию новой энергетики, энергетика, электричество, инфраструктурные проекты, авиация и судоходство, финансы, лизинг и недвижимость, строительство и промышленное оборудование, развитие бизнеса следующего поколения.",
2922,US,KAJMY,US4831112093,KAJMY.PK,Kajima Corp,21.55147,PNK,63,Промышленность,1,Строительство и Инжиниринг,0.0,40.1,,41.58,0.0,35.3,39.9,22.28,32.84,39.9,15.22,25.54,39.9,15.22,20.16,39.9,10.67,17.44,39.9,8.97,14.58,39.9,8.12,14.45,,"Kajima Corp — японская компания, которая в основном занимается гражданским строительством, строительным бизнесом и девелопментом недвижимости. Компания осуществляет свою деятельность в пяти бизнес-сегментах. Сегмент гражданского строительства занимается гражданским строительством. Сегмент «Строительство» занимается строительным бизнесом. Сегмент «Девелопмент» занимается общим девелоперским бизнесом, проектированием, структурным проектированием и прочим проектным бизнесом, а также общим инжиниринговым бизнесом. Сегмент отечественных филиалов занимается продажей строительных материалов и оборудования, заключением договоров на специализированные работы, а также общим лизинговым бизнесом и бизнесом по лизингу зданий в Японии. Сегмент зарубежных филиалов занимается строительным бизнесом и бизнесом по развитию недвижимости в зарубежных регионах, таких как Северная Америка, Европа, Азия и Океания.",
2926,US,EFGSY,US2824921074,EFGSY.PK,Eiffage SA,15.718086,PNK,64,Промышленность,2,Строительство и Инжиниринг,0.0,32.44,,34.0,0.0,30.95,29.96,23.65,26.66,29.96,16.63,24.88,29.96,16.54,22.54,29.96,16.54,22.03,29.96,15.15,21.23,29.96,9.98,20.57,,"Eiffage SA — французская компания, предоставляющая групповые услуги по строительству и концессиям. Деятельность компании осуществляется через пять подразделений, таких как строительство и обслуживание транспортной и инженерной инфраструктуры: дорог, автомагистралей, мостов, железных дорог и т. д. Кроме того, группа производит и продает заполнители, покрытия и связующие; Проектирование, строительство и обслуживание электротехнических, климатических и машиностроительных установок; Строительство и реконструкция зданий: домов, офисов, торговых центров, автостоянок, стадионов, тюрем, больниц и т. д. Кроме того, Компания развивает девелоперскую деятельность; Строительство и управление в концессию инфраструктурой и сооружениями; И другие.",
2933,US,AVHNY,US0045631027,AVHNY.PK,Ackermans & Van Haaren NV,10.733405,PNK,65,Промышленность,3,Строительство и Инжиниринг,0.0,26.3,,0.0,0.0,0.0,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,26.3,15.63,18.2,26.3,12.3,16.05,,"Ackermans & Van Haaren NV — это независимая и диверсифицированная группа со штаб-квартирой в Бельгии, которая работает в различных отраслях, инвестируя в компании на основе долгосрочного партнерства. Он работает в пяти сегментах: морское проектирование и подрядные работы, частное банковское обслуживание, недвижимость и уход за пожилыми людьми, энергетика и ресурсы и капитал роста. Деятельность в сфере морского инжиниринга и подряда варьируется от дноуглубительных работ до (морского) строительства, возобновляемых источников энергии и глубоководных полезных ископаемых. Private Banking в основном занимается дискреционным управлением активами, уделяя особое внимание предпринимателям и представителям свободных профессий. Деятельность компании в сфере недвижимости и ухода за пожилыми людьми варьируется от развития и управления недвижимостью до ухода за пожилыми людьми и здравоохранения. В центре внимания Energy & Resources находится устойчивое тропическое сельское хозяйство. Сегмент Growth Capital предоставляет капитал для развития семейным компаниям, имеющим конкурентоспособную позицию и высокий потенциал роста.",
2934,US,MLLUY,US59126Q1076,MLLUY.PK,Metallurgical Corporation of China Ltd,8.256577,PNK,66,Промышленность,4,Строительство и Инжиниринг,0.0,4.29,,0.0,0.0,0.0,6.25,3.79,4.97,6.25,3.49,4.64,6.25,3.24,4.3,6.64,3.24,4.48,8.04,3.1,4.65,8.04,3.1,4.68,,"Metallurgical Corporation of China Ltd — китайская компания, занимающаяся преимущественно инженерно-строительным бизнесом. Компания в основном управляет двумя видами бизнеса. Инжиниринговый подрядный бизнес в основном включает в себя металлургический строительный бизнес, жилищное строительство и проектирование муниципальной инфраструктуры. Представленный бизнес в первую очередь включает в себя новые материалы, инжиниринговые услуги, высококачественное оборудование, а также энергетику и защиту окружающей среды. Компания ведет свою деятельность на внутреннем и зарубежном рынках.",
2946,US,BFLBY,US09003Q1004,BFLBY.PK,Bilfinger Se,4.300576,PNK,67,Промышленность,5,Строительство и Инжиниринг,0.0,22.92,,26.51,0.0,15.13,27.94,19.92,22.88,27.94,11.35,19.55,27.94,8.18,18.07,27.94,6.37,15.51,27.94,4.97,12.11,27.94,2.95,10.34,,"Bilfinger SE — международный поставщик промышленных услуг со штаб-квартирой в Германии. Компания предоставляет индивидуальные инжиниринговые услуги и услуги клиентам в перерабатывающей промышленности. Сегмент промышленного бизнеса включает промышленное обслуживание; изоляция, строительные леса и покраска; нефть и газ, инженерные решения. Сегмент промышленного бизнеса включает в себя такие виды деятельности, как проектирование, разработка и монтаж промышленных объектов; техническое обслуживание и ремонт промышленных предприятий; управление проектом; сборка и монтаж компонентов установки; проектирование, разработка и внедрение решений по автоматизации, изоляции, защите поверхностей и коррозии, промышленные леса. Бизнес-сегмент «Энергетика» включает в себя такие виды деятельности, как ремонт, техническое обслуживание, повышение эффективности и продление срока службы, а также снос существующих электростанций, а также проектирование, производство и сборку компонентов для систем электростанций с упором на котлы и трубопроводные системы высокого давления.",
2947,US,NWSGY,US62948T1016,NWSGY.PK,CTF Services Ltd,4.783407,PNK,68,Промышленность,6,Строительство и Инжиниринг,0.0,9.97,,9.97,0.0,0.93,10.7,8.15,9.08,10.7,7.65,8.72,13.85,7.01,8.5,13.85,7.01,8.46,13.85,6.85,8.49,19.91,6.4,10.7,,"CTF Services Ltd, ранее NWS Holdings Ltd, — инвестиционная холдинговая компания, занимающаяся преимущественно строительным бизнесом. Компания работает в шести сегментах. Сегмент строительства предоставляет услуги по проектированию, проектированию и строительству коммерческих и жилых, а также государственных и институциональных проектов. Сегмент «Страхование» предлагает клиентам страхование жизни, страхование от несчастных случаев и другие продукты. Сегмент «Дороги» занимается эксплуатацией дорог с целью получения дохода от платы за проезд. Сегмент «Управление объектами» занимается управлением конференц-центрами и выставочными центрами. Логистический сегмент занимается бизнесом по управлению логистическими активами и управлением ими. Сегмент стратегических инвестиций занимается инвестиционным бизнесом.",
2949,US,WYGPY,US98161Q1013,WYGPY.PK,Worley Ltd,4.152917,PNK,69,Промышленность,7,Строительство и Инжиниринг,0.0,8.53,,8.89,0.0,6.71,9.99,7.73,8.84,10.69,6.59,8.7,11.75,6.59,9.33,12.32,6.59,9.73,12.32,6.57,9.32,14.76,2.19,8.61,,"Worley Limited — глобальная компания, предоставляющая профессиональные услуги, базирующаяся в Австралии. Компания предоставляет инженерные решения, решения по управлению проектами и активами в энергетическом, химическом и ресурсном секторах. Компания сотрудничает с клиентами для проектирования, строительства и обслуживания критически важных активов на протяжении всего их жизненного цикла. В энергетическом секторе он производит энергию из традиционных, таких как уголь и нефть, и низкоуглеродных источников энергии, таких как газ, ветер, солнечная энергия и водород, а также реализует проекты, связанные с выработкой, передачей и распределением электроэнергии. В химическом секторе компания производит, перерабатывает и перерабатывает химикаты и топливо, такие как возобновляемые виды топлива, нефтехимические продукты, полимеры и специальные химикаты. В секторе ресурсов компания перерабатывает минеральные и металлические ресурсы, такие как ресурсы, которые играют центральную роль в энергетическом переходе, и ресурсные проекты, связанные с использованием и повторным использованием воды, окружающей средой, транспортом, портами, а также восстановлением и выводом из эксплуатации объектов.",
2950,US,IMPJY,US94845M1036,IMPJY.PK,Webuild SpA,3.013074,PNK,70,Промышленность,8,Строительство и Инжиниринг,0.0,6.42,,6.42,0.0,2.04,10.5,7.68,8.72,10.5,5.81,7.92,10.5,3.79,6.79,10.5,3.12,6.0,10.5,2.74,5.21,10.5,1.66,5.11,,"Webuild SpA, ранее известная как Salini Impregilo SpA, — итальянская строительная компания, специализирующаяся на секторах инфраструктуры, таких как устойчивая мобильность, гидроэнергетика, управление водными ресурсами и экологически чистые здания. Проекты включают дороги, мосты, железнодорожные линии и линии метро, ​​плотины, гидравлические туннели, опреснительные и водоочистные сооружения, стадионы, культурные центры и штаб-квартиры корпораций. Компания работает по всему миру, в Европе, Северной Америке и Австралии.",
2953,US,ARCAY,US03923E1073,ARCAY.PK,Arcadis NV,3.317751,PNK,71,Промышленность,9,Строительство и Инжиниринг,0.0,38.75,,49.5,0.0,12.02,75.99,28.86,47.02,75.99,28.86,48.97,75.99,28.86,54.92,75.99,28.86,51.88,75.99,28.86,46.09,75.99,11.22,27.41,,"Arcadis NV — компания, базирующаяся в Нидерландах. Компания занимается предоставлением устойчивых проектных, инженерных и консалтинговых решений. Он выполняет технико-экономическое обоснование, разрабатывает проекты, предлагает финансовые и юридические консультационные услуги, помогает в процессе получения разрешений, а также предлагает услуги по проектированию и техническому обслуживанию.",
2954,US,JGCCY,US4661401004,JGCCY.PK,JGC Holdings Corp,3.767371,PNK,72,Промышленность,10,Строительство и Инжиниринг,0.0,25.21,,0.0,0.0,0.0,24.1,15.31,20.38,24.1,13.18,17.39,24.1,13.18,17.69,30.0,13.18,21.03,31.01,13.18,21.64,49.93,12.52,28.37,,"JGC Holdings Corp — японская компания, занимающаяся в основном общим инжинирингом и производством функциональных материалов. Компания работает в двух бизнес-сегментах. Сегмент комплексного инжиниринга занимается планированием, проектированием, закупками, строительством и испытаниями оборудования, приборов и объектов для нефти, нефтепереработки, нефтехимии, газа, сжиженного природного газа (СПГ) и других, а также бизнеса по производству воды и электроэнергии. Сегмент «Производство функциональных материалов» занимается производством и продажей продукции в области катализаторов, технологий наночастиц, экологически чистых и безопасных материалов, электронных материалов, высокоэффективной керамики и энергетики нового поколения. Компания также занимается консалтингом, офисной поддержкой, опреснением, добычей и продажей сырой нефти и газа.",
2957,US,CHYCY,US17025X1028,CHYCY.PK,Chiyoda Corp,1.753786,PNK,73,Промышленность,11,Строительство и Инжиниринг,0.0,6.65,,7.95,0.0,2.93,4.52,3.0,3.76,4.52,1.95,2.96,4.52,1.53,2.23,4.52,1.53,2.48,5.27,1.53,3.14,10.35,1.53,5.56,,"Chiyoda Corporation — японская компания, занимающаяся комплексным инжиниринговым бизнесом. Инжиниринговый сегмент занимается планированием различных промышленных и потребительских объектов, а также объектов контроля загрязнения, улучшения окружающей среды и предотвращения стихийных бедствий. Этот сегмент также занимается проектированием, закупкой и монтажом сопутствующих устройств и оборудования, гражданскими и строительными работами, электромонтажными работами, приборостроительными и трубопроводными работами, опытной эксплуатацией, а также другими сопутствующими видами деятельности. Другой сегмент занимается предоставлением туристических услуг, услуг авиаперевозок, консультационных услуг по финансам, бухгалтерскому учету и налогам, увольнению сотрудников и проведению расследований, а также предоставлением услуг по обучению и трудоустройству.",
2966,US,BABWF,ES0177542018,BABWF.PK,International Consolidated Airlines Group SA,22.499672,PNK,74,Промышленность,1,Авиакомпании,0.0,5.35,,5.35,0.0,0.74,5.65,4.65,5.12,5.65,2.9,4.42,5.65,1.64,3.23,5.65,1.57,2.7,5.65,1.05,2.38,6.38,1.05,2.87,,"International Consolidated Airlines Group, S.A. — авиакомпания со штаб-квартирой в Великобритании, владеющая интересами авиакомпаний и вспомогательных операций. Сегменты компании включают British Airways, Iberia, Vueling, Aer Lingus и IAG Loyalty. Он обслуживает различные авиапарки, включая Airbus A319ceo; Аэробус А320ceo; Аэробус А320нео; Аэробус А321CEO; Аэробус А321 ЛР; Аэробус А321 XLR; Аэробус А330-200; Боинг 737-8200; Боинг 777-200; Боинг 737-10; Боинг 777-300; Embraer E190 и другие. Компания через свои дочерние компании занимается оказанием авиаперевозок, страхованием жизни, грузовыми авиаперевозками, услугами по перевозке грузов и т.д. В число ее дочерних компаний входят AERL Holding Limited, British Airways Plc, IAG Cargo Limited, IAG GBS Limited, IAG Connect Limited, British Airways Avionic Engineering Limited и другие. IAG Connect Limited предоставляет услуги платформы электронной коммерции на борту. British Airways Avionic Engineering Limited предоставляет услуги по техническому обслуживанию самолетов.",
2967,US,MTCPY,US5537684095,MTCPY.PK,MTR Corp Ltd,27.037167,PNK,75,Промышленность,1,"Пассажирские перевозки, наземные и морские",0.0,12.88,,12.88,0.0,1.19,11.99,10.0,10.81,11.99,9.05,10.23,11.99,9.05,10.26,16.17,9.05,10.77,17.5,9.05,12.77,21.51,9.05,15.08,,"MTR Corp Ltd — компания, занимающаяся эксплуатацией железных дорог. Компания осуществляет свою деятельность в семи сегментах. Сегмент транспортных операций Гонконга предоставляет пассажирские услуги для железнодорожной системы, Airport Express, легкорельсового транспорта и автобусов. Коммерческий бизнес-сегмент станций Гонконга сдает в аренду рекламные, торговые и парковочные места, предоставляет услуги связи и пропускной способности. Сегмент бизнеса по аренде и управлению недвижимостью в Гонконге сдает в аренду торговые, офисные и парковочные места, а также предоставляет услуги по управлению недвижимостью. Сегмент развития недвижимости в Гонконге занимается девелоперской деятельностью. Сегмент материкового Китая и международных железных дорог, аренды и управления недвижимостью строит и эксплуатирует железнодорожные системы, арендует торговые площади и предоставляет услуги по управлению недвижимостью. Сегмент развития недвижимости в материковом Китае фокусируется на девелоперском бизнесе. Сегмент «Другой бизнес» предоставляет услуги по эксплуатации канатных дорог и консультационные услуги.",
2970,US,AIRYY,US00910M1009,AIRYY.PK,Air China Ltd,15.538088,PNK,76,Промышленность,2,Авиакомпании,0.0,12.2,,13.3,0.0,1.81,18.09,12.55,15.22,18.09,10.4,13.63,18.09,7.51,11.65,19.67,7.51,12.52,19.95,7.51,13.62,32.26,7.51,16.04,,,
2972,US,SINGF,SG1V61937297,SINGF.PK,Singapore Airlines Ltd,15.754864,PNK,77,Промышленность,3,Авиакомпании,0.0,5.02,,5.55,0.0,2.91,5.92,4.53,5.18,5.92,4.16,5.08,5.92,3.99,4.95,5.97,3.96,4.87,5.97,2.99,4.29,6.18,2.39,4.25,,"Singapore Airlines Limited занимается пассажирскими и грузовыми авиаперевозками. Компания через свои дочерние компании осуществляет грузовые авиаперевозки, инжиниринговые услуги, обучение пилотов, чартерные авиаперевозки, экскурсионную деятельность, продажу товаров и сопутствующую деятельность. В его сегменты входят перевозчики с полным спектром услуг (FSC), бюджетные перевозчики (LCC) и инженерные услуги. Сегмент FSC обеспечивает пассажирские и грузовые авиаперевозки под брендом Singapore Airlines с упором на пассажирский сегмент с полным спектром услуг. Сегмент LCC обеспечивает пассажирские авиаперевозки под брендом Scoot с акцентом на бюджетный пассажирский сегмент. Сегмент инженерных услуг предоставляет услуги по техническому обслуживанию и капитальному ремонту планера, услуги по техническому наземному обслуживанию и управлению автопарком, а также производит оборудование для салонов самолетов, ремонтирует камбузы самолетов, предоставляет услуги технического и нетехнического обслуживания, а также ремонт и капитальный ремонт гидромеханического авиационного оборудования.",
